# this is the amount of variation in chunks:length ratio for each chunk count (original score)
# each group lists a count for each ratio among anagrams with that chunk score
12 chunks
  3: 0.9230769230769231
  1: 0.8571428571428571
11 chunks
  25: 0.9166666666666666
  12: 0.8461538461538461
10 chunks
  65: 0.9090909090909091
  27: 0.8333333333333334
  8: 0.7692307692307693
  4: 0.7142857142857143
9 chunks
  145: 0.9
  87: 0.8181818181818182
  44: 0.75
  9: 0.6923076923076923
  2: 0.6428571428571429
8 chunks
  446: 0.8888888888888888
  246: 0.8
  90: 0.7272727272727273
  37: 0.6666666666666666
  11: 0.6153846153846154
  1: 0.5714285714285714
7 chunks
  813: 0.875
  518: 0.7777777777777778
  229: 0.7
  72: 0.6363636363636364
  22: 0.5833333333333334
  10: 0.5384615384615384
  7: 0.5
  1: 0.4666666666666667
  1: 0.4375
6 chunks
  1433: 0.8571428571428571
  939: 0.75
  460: 0.6666666666666666
  180: 0.6
  57: 0.5454545454545454
  20: 0.5
  12: 0.46153846153846156
  4: 0.42857142857142855
  4: 0.4
5 chunks
  1877: 0.8333333333333334
  1379: 0.7142857142857143
  697: 0.625
  332: 0.5555555555555556
  135: 0.5
  50: 0.45454545454545453
  25: 0.4166666666666667
  13: 0.38461538461538464
  7: 0.35714285714285715
  4: 0.3333333333333333
4 chunks
  1844: 0.8
  1618: 0.6666666666666666
  1097: 0.5714285714285714
  580: 0.5
  236: 0.4444444444444444
  178: 0.4
  109: 0.36363636363636365
  69: 0.3333333333333333
  50: 0.3076923076923077
  30: 0.2857142857142857
  20: 0.26666666666666666
  12: 0.25
  9: 0.23529411764705882
  3: 0.2222222222222222
  3: 0.21052631578947367
  2: 0.19047619047619047
3 chunks
  1072: 0.75
  1261: 0.6
  1102: 0.5
  733: 0.42857142857142855
  471: 0.375
  283: 0.3333333333333333
  167: 0.3
  86: 0.2727272727272727
  53: 0.25
  23: 0.23076923076923078
  18: 0.21428571428571427
  18: 0.2
  22: 0.1875
  12: 0.17647058823529413
  7: 0.16666666666666666
  4: 0.15789473684210525
  3: 0.15
  2: 0.14285714285714285
  2: 0.13636363636363635
2 chunks
  154: 0.6666666666666666
  443: 0.5
  423: 0.4
  260: 0.3333333333333333
  245: 0.2857142857142857
  148: 0.25
  58: 0.2222222222222222
  24: 0.2
  6: 0.18181818181818182
  1: 0.16666666666666666
